arg1_rel,arg2_rel,arg1,arg2,text,text_pl
Member,Collection,e2,e1,"Since we see an <e1>array</e1> of spectral <e2>colors</e2>, it led him to the conclusion that color is a perceptual experience that depends on the wavelength of the light.","Ponieważ widzimy <e1>tablicę</e1> widmowych <e2>kolorów</e2>, doprowadziło to go do wniosku, że kolor jest doświadczeniem percepcyjnym, które zależy od długości fali światła."
Other,Other,,,But the <e1>problem</e1> requires a broader <e2>solution</e2> - one that is consistent with the new U.S. commitment to cross-border cooperation.,Jednak <e1>problem</e1> wymaga szerszego <e2>rozwiązania</e2> – zgodnego z nowym zobowiązaniem USA do współpracy transgranicznej.
Other,Other,,,The size of the <e1>assemblies</e1> grows from the byssus substrate <e2>interface</e2> to the transition layer.,Rozmiar <e1>zespołów</e1> rośnie od bisioru <e2>interfejsu</e2> do warstwy przejściowej.
Entity,Destination,e1,e2,Virgin spaceship takes <e1>visitors</e1> into <e2>suborbital space</e2>.,Dziewiczy statek kosmiczny zabiera <e1>odwiedzających</e1> w <e2>przestrzeń suborbitalną</e2>.
Member,Collection,e2,e1,"David and I have the same ""vision"" for our <e1>kennel</e1> of <e2>dogs</e2> and share the same philosophy in what we want our Labradors to represent.","David i ja mamy tę samą „wizję” dla naszej <e1>hodowli</e1> <e2>psów</e2> i podzielamy tę samą filozofię w tym, co chcemy, aby reprezentowały nasze labradory."
Member,Collection,e2,e1,"The street outside the side entrance was decked, however, with three limousines double-parked and a <e1>squad</e1> of motorcycle <e2>policemen</e2> stood at the door.","Ulica przed bocznym wejściem była jednak udekorowana trzema podwójnymi limuzynami, a przy drzwiach stał <e1>oddział</e1> <e2>policjantów</e2> motocyklowych."
Entity,Origin,e2,e1,"The production of <e1>rice</e1> <e2>spirits</e2> in South China, such as the well-known Guiling Shanhua Spirit, kept using the same method described above until the first half of this century.","Produkcja <e1>ryżu</e1> <e2>spirytusu</e2> w południowych Chinach, takich jak dobrze znany Guiling Shanhua Spirit, odbywała się przy użyciu tej samej metody opisanej powyżej aż do pierwszej połowy tego stulecia."
Instrument,Agency,e2,e1,"The <e1>software</e1> creates pictures using random <e2>algorithms</e2>, and prints them in sections on multiple pages which can be trimmed and assembled to fashion large posters.","<e1>Oprogramowanie</e1> tworzy zdjęcia przy użyciu losowych <e2>algorytmów</e2> i drukuje je w sekcjach na wielu stronach, które można przyciąć i złożyć w celu stworzenia dużych plakatów."
Cause,Effect,e1,e2,<e1>Autonomic imbalance</e1> is one of the multifactorial causes of essential <e2>hypertension</e2> currently.,<e1>Nierównowaga autonomiczna</e1> jest obecnie jedną z wieloczynnikowych przyczyn istotnego <e2>nadciśnienia</e2>.
Instrument,Agency,e2,e1,"Sitting on wooden benches, in strong, concealed positions, the enemy machine <e1>gunners</e1> tore the platoon to shreds with their murderous <e2>weapons</e2>.","Siedząc na drewnianych ławkach, w silnych, ukrytych pozycjach, wrogowie <e1>strzelcy</e1> maszyn rozerwali pluton na strzępy swoją morderczą <e2>bronią</e2>."
Product,Producer,e2,e1,Toda has established himself as the world's foremost <e1>folder</e1> of paper <e2>planes</e2>.,Toda stał się czołowym na świecie <e1>folderem</e1> papierowych <e2>samolotów</e2>.
Message,Topic,e1,e2,The <e1>exhibition</e1> explores the <e2>ideas</e2> and beliefs of people in the Middle Ages.,<e1>wystawa</e1> przedstawia <e2>idee</e2> i wierzenia ludzi w średniowieczu.
Other,Other,,,"Narrative <e1>identity</e1> takes part in the story's <e2>movement</e2>, in the dialectic between order and disorder.","Narracja <e1>tożsamość</e1> uczestniczy w <e2>ruchu</e2> opowieści, w dialektyce między porządkiem a nieporządkiem."
Message,Topic,e1,e2,Again you make professional <e1>judgements</e1> regarding their relative <e2>value</e2>.,Ponownie dokonujesz profesjonalnych <e1>osądów</e1> dotyczących ich względnej <e2>wartości</e2>.
Component,Whole,e1,e2,Some nails are more difficult to remove than others from the <e1>shank</e1> of the <e2>shoe</e2>.,Niektóre gwoździe są trudniejsze do usunięcia niż inne z <e1>cholewki</e1> <e2>buta</e2>.
Component,Whole,e2,e1,"He kept collecting those <e1>book</e1> <e2>titles</e2>, and sent them to me for our next reading list.",Ciągle zbierał te <e1>książki</e1> <e2>tytuły</e2> i wysyłał je do mnie na następną listę lektur.
Message,Topic,e1,e2,The following <e1>discussion</e1> centered mainly around the <e2>issue</e2> of photographing children.,Poniższa <e1>dyskusja</e1> koncentrowała się głównie wokół <e2>kwestii</e2> fotografowania dzieci.
Member,Collection,e2,e1,It was the only living thing in sight except for a stationary <e1>cloud</e1> of hysterical <e2>gnats</e2> suspended in the heat above the road.,"Była to jedyna żywa istota w zasięgu wzroku, z wyjątkiem nieruchomej <e1>chmury</e1> histerycznych <e2>komarów</e2> zawieszonych w upale nad drogą."
Cause,Effect,e2,e1,"As I move closer to the kitchen, the steady <e1>hum</e1> of the <e2>refrigerator</e2> grows stronger.","Gdy zbliżam się do kuchni, równomierny <e1>szum</e1> <e2>lodówki</e2> narasta."
Member,Collection,e1,e2,"He changed perspective cricketers view, on role of wicket <e1>keeper</e1> in the <e2>team</e2>.","Zmienił perspektywę widzenia krykieta, na rolę furty <e1>obrońcy</e1> w <e2>drużynie</e2>."
Product,Producer,e1,e2,"I have long been an ardent admirer, user, and buyer of the <e1>knitwear</e1> produced by this excellent <e2>company</e2> based in the small borders town of Hawick.","Od dawna jestem gorącym wielbicielem, użytkownikiem i nabywcą <e1>odzieży</e1> tej znakomitej <e2>firmy</e2> z siedzibą w małym przygranicznym miasteczku Hawick."
Entity,Origin,e1,e2,"To strengthen, if needed, maybe some sinister reference to the <e1>pea</e1> having got out from under the <e2>mattress</e2>.","Aby wzmocnić, w razie potrzeby, może jakieś złowrogie odniesienie do <e1>grochu</e1>, który wydostał się spod <e2>materaca</e2>."
Other,Other,,,The real <e1>output</e1> per capita is running into inherent <e2>barriers</e2>.,Prawdziwy <e1>wynik</e1> na mieszkańca napotyka na nieodłączne <e2>bariery</e2>.
Cause,Effect,e1,e2,Fatty <e1>acid</e1> and phospholipid chlorohydrins cause cell stress and endothelial <e2>adhesion</e2>.,Tłuszczowe <e1>kwasy</e1> i fosfolipidowe chlorohydryny powodują stres komórkowy i <e2>adhezję</e2> śródbłonka.
Entity,Destination,e1,e2,Nuclear <e1>material</e1> of Trypanosoma brucei is imported into the <e2>mitochondria</e2>.,Jądrowy <e1>materiał</e1> Trypanosoma brucei jest importowany do <e2>mitochondriów</e2>.
Entity,Destination,e1,e2,"Lately, even women inject <e1>steroids</e1> into their <e2>muscles</e2>.",Ostatnio nawet kobiety wstrzykują <e1>steroidy</e1> w swoje <e2>mięśnie</e2>.
Other,Other,,,"The Earth was the center of the universe, and the <e1>sky</e1> was enclosed in a <e2>dome</e2>.","Ziemia była centrum wszechświata, a <e1>niebo</e1> było otoczone <e2>kopułą</e2>."
Entity,Destination,e1,e2,The enemy combatant <e1>case</e1> has moved into <e2>civilian courts</e2>.,Wrogi kombatant <e1>sprawa</e1> przeniosła się do <e2>sądów cywilnych</e2>.
Message,Topic,e1,e2,It is the <e1>story</e1> of a <e2>teenager</e2> who finds himself floating on a raft down the Mississippi River with an escaping slave.,"Jest to <e1>historia</e1> <e2>nastolatka</e2>, który unosi się na tratwie po rzece Missisipi z uciekającym niewolnikiem."
Message,Topic,e1,e2,They are a collection of <e1>standards</e1> defining the allowed <e2>formats</e2> of Compact Discs.,Są zbiorem <e1>standardów</e1> definiujących dozwolone <e2>formaty</e2> płyt kompaktowych.
Member,Collection,e2,e1,Strora Enso has a wide <e1>range</e1> of white envelope <e2>papers</e2> developed for excellent runnability and printability.,"Stora Enso oferuje szeroki <e1>asortyment</e1> białych <e2>papierów</e2> do kopert, opracowanych z myślą o doskonałej wydajności i drukowności."
Entity,Origin,e1,e2,The origin of a <e1>cancer</e1> is from a single <e2>cell</e2>.,Pochodzenie <e1>raka</e1> pochodzi z jednej <e2>komórki</e2>.
Member,Collection,e2,e1,I had a <e1>nest</e1> of garter <e2>snakes</e2> in the crack between the sidewalk and foundation last year.,W zeszłym roku w szczelinie między chodnikiem a fundamentem miałem <e1>gniazdo</e1> podwiązek <e2>węży</e2>.
Message,Topic,e1,e2,The old geological <e1>theory</e1> explained <e2>mountains</e2> as wrinkles made by the Earth shrinking as it cools down.,Stara <e1>teoria</e1> geologiczna wyjaśniała <e2>góry</e2> jako zmarszczki powstałe w wyniku kurczenia się Ziemi w miarę stygnięcia.
Component,Whole,e2,e1,Our <e1>cutter</e1> has a <e2>staysail</e2> on a furler.,Nasz <e1>kuter</e1> ma <e2>szlak</e2> na rolerze.
Content,Container,e1,e2,My <e1>mint julep</e1> was in a <e2>glass</e2> I still own.,"Mój <e1>miętowy julep</e1> był w <e2>kieliszku</e2>, który nadal posiadam."
Entity,Destination,e1,e2,The contaminated buildings that were buried have leaked <e1>radiation</e1> into the <e2>soil</e2>.,"Skażone budynki, które zostały zasypane, przedostały się <e1>promieniowaniem</e1> do <e2>gleby</e2>."
Instrument,Agency,e2,e1,"Another shows a <e1>worker</e1> with a <e2>cigarette</e2> dangling from his mouth, a lunch box popping out from under a well-muscled arm.",Na innym widać <e1>pracownika</e1> z <e2>papierosem</e2> zwisającym mu z ust i pudełkiem śniadaniowym wyskakującym spod dobrze umięśnionego ramienia.
Content,Container,e2,e1,"When leaving on the walk, our guide gave one of our group a <e1>bottle</e1> with twenty <e2>re-hydration tablets</e2> in it.","Wychodząc na spacer, nasz przewodnik dał jednej z naszych grup <e1>butelkę</e1> z dwudziestoma <e2>tabletkami nawadniającymi</e2>."
Entity,Destination,e1,e2,He accidentally dropped the <e1>file</e1> into the wrong <e2>folder</e2>.,Przypadkowo upuścił <e1>plik</e1> do niewłaściwego <e2>folderu</e2>.
Cause,Effect,e1,e2,The new <e1>cigarettes</e1> cause headaches and <e2>nausea</e2> and contain dangerous chemicals.,Nowe <e1>papierosy</e1> powodują bóle głowy i <e2>nudności</e2> oraz zawierają niebezpieczne chemikalia.
Member,Collection,e1,e2,The method examines the <e1>hypothesis</e1> <e2>stack</e2> of the decoder during recognition and picks the most likely terms before they are pruned.,Metoda bada <e1>hipotezę</e1> <e2>stos</e2> dekodera podczas rozpoznawania i wybiera najbardziej prawdopodobne terminy przed ich przycięciem.
Other,Other,,,Bangladesh has urged India to do away with <e1>visas</e1> for <e2>travel</e2> between the two neighbours to boost trade.,Bangladesz wezwał Indie do zniesienia <e1>wiz</e1> na <e2>podróże</e2> między dwoma sąsiadami w celu zwiększenia handlu.
Instrument,Agency,e2,e1,A Canadian <e1>doctor</e1> cured me with only a <e2>massage</e2>.,Kanadyjski <e1>lekarz</e1> wyleczył mnie tylko <e2>masażem</e2>.
Entity,Origin,e1,e2,"This past September, the convicted <e1>burglar</e1> escaped from an open <e2>prison</e2>.",We wrześniu ubiegłego roku skazany <e1>włamywacz</e1> uciekł z otwartego <e2>więzienia</e2>.
Other,Other,,,I made sure that the end could still slide freely over the <e1>dowel</e1> <e2>rod</e2>.,"Upewniłem się, że koniec nadal może swobodnie przesuwać się po <e1>kołku</e1> <e2>pręcie</e2>."
Entity,Destination,e1,e2,He put a <e1>gallon</e1> into his <e2>cart</e2> and walked back to the front of the store.,Włożył <e1>galon</e1> do swojego <e2>wózka</e2> i wrócił na przód sklepu.
Member,Collection,e2,e1,They were a loose <e1>confederacy</e1> of various Arab <e2>lineages</e2> who were forged together in the eighteenth century by a common way of life and amalgamated in the twentieth century under their famous Shaykh (Sir) 'Ali al-Tom (1874-1937).,"Byli luźną <e1>konfederacją</e1> różnych arabskich <e2>rodów</e2>, które zostały połączone w XVIII wieku przez wspólny styl życia i połączone w XX wieku pod przewodnictwem ich słynnego Szejka (Sir) „Ali al-Tom (1874-1937)."
Message,Topic,e1,e2,Local <e1>legend</e1> tells of a <e2>man</e2> unjustly hanged and a grave where no grass will grow.,"Lokalna <e1>legenda</e1> mówi o <e2>człowieku</e2> niesprawiedliwie powieszonym i grobie, na którym nie będzie rosła trawa."
Message,Topic,e2,e1,It was noted that this <e1>policy</e1> had been considered at the last <e2>meeting</e2> of the Policy and Procedure Review.,"Zauważono, że ta <e1>polityka</e1> została uwzględniona podczas ostatniego <e2>spotkania</e2> w sprawie Przeglądu zasad i procedur."
Member,Collection,e1,e2,<e1>Billionaires</e1> make up India's <e2>rich list</e2>.,<e1>Miliarderzy</e1> to <e2>bogata lista</e2> w Indiach.
Component,Whole,e2,e1,"An air <e1>freshener</e1> is constructed from <e2>parts</e2> to make a model of an object from everyday life, e.g. an airplane, insect, or bird.","<e1>odświeżacz</e1> powietrza składa się z <e2>części</e2> do wykonania modelu przedmiotu z życia codziennego, np. samolot, owad lub ptak."
Component,Whole,e1,e2,"As the driver passed Venne, one of the hooks caught the cyclist, dragging him under the <e1>wheels</e1> of the <e2>truck</e2>.","Gdy kierowca mijał Venne, jeden z haków złapał rowerzystę, ciągnąc go pod <e1>koła</e1> <e2>ciężarówki</e2>."
Entity,Destination,e1,e2,People used to throw <e1>coins</e1> into this <e2>fountain</e2>.,Ludzie wrzucali <e1>monety</e1> do tej <e2>fontanny</e2>.
Instrument,Agency,e2,e1,"The <e1>military</e1> uses <e2>sandbags</e2> for field fortifications, or as a temporary measure to protect civilian structures.",<e1>wojskowe</e1> używa <e2>worków z piaskiem</e2> do fortyfikacji polowych lub jako tymczasowego środka ochrony struktur cywilnych.
Entity,Destination,e1,e2,"The <e1>prophet</e1> was put into a vaulted <e2>cell</e2> in a dungeon, where he remained a long time.","<e1>Prorok</e1> został umieszczony w podziemiach <e2>celi</e2> w lochu, gdzie przebywał przez długi czas."
Component,Whole,e1,e2,Peg bags are the medium sized bags that hang in the candy <e1>isle</e1> of the <e2>store</e2>.,"Torebki z kołkami to średniej wielkości torebki, które wiszą na <e1>wyspie</e1> ze słodyczami w <e2>sklepie</e2>."
Cause,Effect,e1,e2,"On the hour, the <e1>clock</e1> plays a <e2>melody</e2> with motion.",O godzinie <e1>zegar</e1> odtwarza <e2>melodię</e2> z ruchem.
Other,Other,,,"For example, a <e1>technology</e1> <e2>manufacturer</e2> undertook a seven-year, $200 million human resources outsourcing effort.","Na przykład, <e1>technologia</e1> <e2>producent</e2> podjął siedmioletni wysiłek outsourcingu zasobów ludzkich o wartości 200 milionów dolarów."
Cause,Effect,e2,e1,Nurses' <e1>militancy</e1> stemmed from two different kinds of <e2>experiences</e2>.,<e1>Waleczność</e1> pielęgniarek wynikała z dwóch różnych <e2>doświadczeń</e2>.
Content,Container,e1,e2,An i-Button is a globally unique <e1>computer chip</e1> enclosed in a 16mm <e2>steel case</e2>.,I-Button to unikalny na skalę światową <e1>chip komputerowy</e1> zamknięty w 16-milimetrowej <e2>stalowej obudowie</e2>.
Instrument,Agency,e2,e1,"Four hours earlier, the <e1>electrician</e1> injured his eye with the blunt <e2>end</e2> of a screwdriver.",Cztery godziny wcześniej <e1>elektryk</e1> uszkodził sobie oko tępym <e2>końcówką</e2> śrubokręta.
Content,Container,e1,e2,He was shocked to find the <e1>mixes</e1> were in a <e2>box</e2> in his garage that was in mortal danger because rats had used it for nesting.,"Był zszokowany, gdy odkrył, że <e1>mieszanki</e1> znajdowały się w <e2>pudełku</e2> w jego garażu, które było w śmiertelnym niebezpieczeństwie, ponieważ szczury używały ich do gniazdowania."
Other,Other,,,This <e1>publication</e1> is supported by a <e2>grant</e2> from Merck.,Ta <e1>publikacja</e1> jest wspierana przez <e2>dotację</e2> firmy Merck.
Component,Whole,e2,e1,A simple DC <e1>motor</e1> has a <e2>coil</e2> of wire that can rotate in a magnetic field.,"Prosty <e1>silnik</e1> prądu stałego ma <e2>cewkę</e2> drutu, która może obracać się w polu magnetycznym."
Member,Collection,e2,e1,"The human psyche is seen to be a <e1>confederation</e1> of various <e2>aspects</e2> (e.g., cognition, affection, conation).","Ludzka psychika jest postrzegana jako <e1>konfederacja</e1> różnych <e2>aspektów</e2> (np. poznanie, przywiązanie, konacja)."
Component,Whole,e1,e2,Nails grow out of deep folds in the <e1>skin</e1> of the <e2>fingers</e2> and toes.,Paznokcie wyrastają z głębokich fałd w <e1>skórze</e1> <e2>palców</e2> i stóp.
Entity,Origin,e1,e2,The <e1>plane</e1> took off westbound from the small airport's southernmost <e2>runway</e2> shortly before 6 p.m.,<e1>samolot</e1> wystartował w kierunku zachodnim z najbardziej wysuniętego na południe <e2>pasu</e2> małego lotniska krótko przed 18:00.
Cause,Effect,e2,e1,The <e1>pollution</e1> from animal <e2>factories</e2> is also destroying parts of the world's oceans.,<e1>Zanieczyszczenia</e1> pochodzące z <e2>fabryk</e2> zwierząt niszczą również części oceanów na świecie.
Member,Collection,e2,e1,"It is a shady retreat, close to a <e1>chain</e1> of shallow <e2>ponds</e2> near the lake shore.","Jest to zacienione schronienie, blisko <e1>łańcucha</e1> płytkich <e2>stawów</e2> przy brzegu jeziora."
Other,Other,,,But O'Brien was proud of how his <e1>team</e1> finished a difficult <e2>season</e2>.,"Ale O'Brien był dumny z tego, jak jego <e1>zespół</e1> zakończył trudny <e2>sezon</e2>."
Entity,Destination,e1,e2,The <e1>aircraft</e1> is landing into the <e2>sea</e2>.,<e1>samolot</e1> ląduje w <e2>morze</e2>.
Component,Whole,e2,e1,"As a result of this consolidation, the <e1>area</e1> comprised of these <e2>villages</e2> is now called Kalbach, but each village still has its own identity on a map.","W wyniku tej konsolidacji <e1>obszar</e1> składający się z tych <e2>wiosek</e2> nazywa się teraz Kalbach, ale każda wioska wciąż ma swoją własną tożsamość na mapie."
Other,Other,,,The <e1>achievements</e1> of Michael Phelps in the pool proved to be a major <e2>talking point</e2> for the riders.,<e1>Osiągnięcia</e1> Michaela Phelpsa w puli okazały się głównym <e2>punktem do rozmów</e2> dla kolarzy.
Other,Other,,,"A remarkable <e1>combination</e1> of favourable <e2>circumstances</e2> saw the technology progress from the innovation phase - its trial in prototype form - through to adoption and widespread use, in only a few years.",Niezwykła <e1>kombinacja</e1> sprzyjających <e2>okoliczności</e2> doprowadziła do postępu technologicznego od fazy innowacji – jej próby w formie prototypu – do przyjęcia i powszechnego stosowania w ciągu zaledwie kilku lat.
Cause,Effect,e2,e1,The NNT and NNH are useful indices to describe the trade-off between the benefit and the <e1>harm</e1> produced by a new <e2>treatment</e2>.,NNT i NNH są użytecznymi wskaźnikami do opisania kompromisu między korzyścią a <e1>szkodą</e1> wywołaną przez nowe <e2>leczenie</e2>.
Component,Whole,e2,e1,"However, there are <e1>fish</e1> with <e2>lungs</e2> and fish without swim bladders.",Istnieją jednak <e1>ryby</e1> z <e2>płucami</e2> i ryby bez pęcherza pławnego.
Message,Topic,e1,e2,The eleventh <e1>chapter</e1> is devoted entirely to <e2>architecture</e2>.,Jedenasty <e1>rozdział</e1> jest w całości poświęcony <e2>architekturze</e2>.
Cause,Effect,e2,e1,<e1>Acne</e1> is caused by <e2>clogging</e2> of sebaceous (oil producing) glands on the skin.,<e1>Trądzik</e1> jest spowodowany <e2>zatykaniem</e2> gruczołów łojowych (produkujących olej) na skórze.
Member,Collection,e2,e1,"Once the <e1>list</e1> of relevant <e2>patents</e2> appears, clicking on the patent number brings up the entire patent.","Gdy pojawi się <e1>lista</e1> odpowiednich <e2>patentów</e2>, kliknięcie numeru patentu spowoduje wyświetlenie całego patentu."
Entity,Origin,e1,e2,"In one of cinema's earliest and most famous screenings, the <e1>crowd</e1> ran away from the <e2>theatre</e2> after an approaching train appeared.",Na jednym z najwcześniejszych i najsłynniejszych seansów kinowych <e1>tłum</e1> uciekł z <e2>teatru</e2> po pojawieniu się nadjeżdżającego pociągu.
Instrument,Agency,e2,e1,"They infiltrated here and there, provoking the Russian <e1>military</e1> to liberate region after region with <e2>bombs</e2> and artillery.","Infiltrowali tu i tam, prowokując rosyjskie <e1>wojskowe</e1> do wyzwalania regionów za pomocą <e2>bomb</e2> i artylerii."
Message,Topic,e2,e1,"Electroconvulsive <e1>therapy</e1> has been depicted in several fictional and semi-fictional <e2>films</e2>, books, and songs.","<e1>terapia</e1> elektrowstrząsami została przedstawiona w kilku fikcyjnych i na wpół fikcyjnych <e2>filmach</e2>, książkach i piosenkach."
Component,Whole,e1,e2,The <e1>muscularis</e1> of the <e2>stomach</e2> is thicker than that elsewhere.,<e1>mięśnie</e1> <e2>żołądka</e2> jest grubsze niż gdzie indziej.
Member,Collection,e2,e1,Of course the proble is Christmas just passed so I've got a brand new <e1>pile</e1> of unread <e2>books</e2> to contend with.,"Oczywiście problem polega na tym, że właśnie minęły Święta Bożego Narodzenia, więc mam zupełnie nowy <e1>stos</e1> nieprzeczytanych <e2>książek</e2> do pokonania."
Other,Other,,,This ordinance was a result of the <e1>bond</e1> of profit <e2>agents</e2> getting angry over the recent expansion of the Broward County Pretrial program.,Zarządzenie to było wynikiem złości <e1>obligacji</e1> agentów <e2>dochodowych</e2> z powodu niedawnego rozszerzenia programu postępowania przygotowawczego w hrabstwie Broward.
Member,Collection,e2,e1,"The current Swiss Confederation was created in 1802 as a <e1>confederation</e1> of various multi-ethnic <e2>cantons</e2>, which all have their own characteristics.","Obecna Konfederacja Szwajcarska została utworzona w 1802 r. jako <e1>konfederacja</e1> różnych wieloetnicznych <e2>kantonów</e2>, z których każdy ma swoje własne cechy."
Component,Whole,e2,e1,The <e1>table</e1> summarises the <e2>results</e2> for the remaining 567 women.,<e1>Tabela</e1> podsumowuje <e2>wyniki</e2> dla pozostałych 567 kobiet.
Cause,Effect,e1,e2,"No water enters the inside of the dishwasher, and the <e1>motor</e1> makes a <e2>sound</e2> as if under strain.","Woda nie dostaje się do wnętrza zmywarki, a <e1>silnik</e1> wydaje <e2>dźwięk</e2>, jakby był pod napięciem."
Other,Other,,,The vessel went down in a typhoon and the <e1>man</e1> was discovered inside a cork <e2>buffer</e2> used to prevent damage to the ship during docking.,"Statek upadł w tajfunie, a <e1>człowiek</e1> został odkryty w korkowym <e2>buforze</e2> używanym do zapobiegania uszkodzeniom statku podczas dokowania."
Message,Topic,e1,e2,The approved fireworks exhibition <e1>rules</e1> involve stricter display <e2>guidelines</e2>.,Zatwierdzone <e1>zasady</e1> wystawy fajerwerków obejmują bardziej rygorystyczne <e2>wytyczne</e2> dotyczące wyświetlania.
Entity,Origin,e1,e2,My <e1>evidence</e1> from two <e2>weeks</e2> ago proves the situation has changed from the time of their evidence.,"Moje <e1>dowody</e1> sprzed dwóch <e2>tygodni</e2> temu dowodzą, że sytuacja zmieniła się od czasu ich zeznań."
Message,Topic,e1,e2,This comprehensive <e1>book</e1> discusses both the human and the natural <e2>history</e2> of the islands of California.,"Ta obszerna <e1>książka</e1> omawia zarówno ludzką, jak i naturalną <e2>historię</e2> wysp Kalifornii."
Component,Whole,e1,e2,"Metals, on the other hand, reflect these radio waves, a characteristic very cleverly put to use in the <e1>walls</e1> of the <e2>microwave</e2> such that no waves escape.","Z drugiej strony metale odbijają te fale radiowe, cecha bardzo sprytnie zastosowana w <e1>ścianach</e1> <e2>mikrofalowej</e2> tak, że żadne fale nie uciekają."
Component,Whole,e1,e2,The <e1>spring</e1> of the <e2>gravimeter</e2> must extend some more to accommodate the larger weight.,"<e1>Sprężyna</e1> <e2>grawimetru</e2> musi rozciągać się nieco bardziej, aby pomieścić większy ciężar."
Other,Other,,,"Walking trails, fire pit and a tree <e1>fort</e1> in the <e2>woods</e2> have encouraged him to spend time outside.","Szlaki piesze, ognisko i drzewo <e1>fort</e1> w <e2>lasie</e2> zachęciły go do spędzania czasu na świeżym powietrzu."
Entity,Destination,e1,e2,"The scientists placed the <e1>substance</e1> in a tiny <e2>capsule</e2> which gets channelled into cancer cells, and is then ""unpacked"" with a laser impulse.","Naukowcy umieścili <e1>substancję</e1> w maleńkiej <e2>kapsułce</e2>, która jest kierowana do komórek rakowych, a następnie ""rozpakowywana"" za pomocą impulsu laserowego."
Member,Collection,e2,e1,"Jackson wasn't to be outdone and was rewarded with a <e1>leap</e1> of three <e2>leopards</e2>, which he watched with his guests for an amazing five hours.","Jackson nie dał się wyprzedzić i został nagrodzony <e1>skokiem</e1> trzech <e2>leopardów</e2>, które obserwował ze swoimi gośćmi przez niesamowite pięć godzin."
Entity,Origin,e1,e2,Meanwhile the <e1>appellant</e1> had left the <e2>house</e2>.,Tymczasem <e1>odwołujący się</e1> opuścił <e2>dom</e2>.
Entity,Destination,e1,e2,"These <e1>people</e1> have journeyed into a <e2>mountain</e2> that is over 2,000 m high.",Ci <e1>ludzie</e1> wjechali na <e2>górę</e2> o wysokości ponad 2000 m.
Other,Other,,,A cutting tool of the <e1>sort</e1> used for deep hole <e2>drilling</e2> has a cutting head mounted on a shank.,Narzędzie tnące <e1>rodzaju</e1> używanego do <e2>wiercenia</e2> głębokich otworów ma głowicę tnącą zamontowaną na trzpieniu.
Product,Producer,e1,e2,"The invisible hand, also known as the invisible hand of the market, is a <e1>metaphor</e1> first coined by the <e2>economist</e2> in The Theory of Moral Sentiments.","Niewidzialna ręka, znana również jako niewidzialna ręka rynku, to <e1>metafora</e1> wymyślona po raz pierwszy przez <e2>ekonomisty</e2> w Teorii uczuć moralnych."
Content,Container,e2,e1,I have a large <e1>garbage bag</e1> full of <e2>clothes</e2> for a teen or preteen girl.,Mam duży <e1>worek na śmieci</e1> pełen <e2>ubrań</e2> dla nastolatki lub dziewczynki w wieku preteen.
Product,Producer,e1,e2,These <e1>lines</e1> from the pen of a nineteenth-century <e2>poet</e2> Rupchand Pakshi describe the city of Calcutta as a city of machines.,Te <e1>linijki</e1> pióra dziewiętnastowiecznego <e2>poety</e2> Rupchanda Pakshi opisują Kalkutę jako miasto maszyn.
Member,Collection,e2,e1,It seems really nasty to have an <e1>army</e1> of <e2>caterpillars</e2> infest a fruit tree.,"Wydaje się naprawdę paskudne, że <e1>armia</e1> <e2>gąsienic</e2> zaatakowała drzewo owocowe."
Cause,Effect,e2,e1,"The <e1>fluctuations</e1> are caused by state and federal <e2>taxes</e2>, distance from refineries to filling stations and environmental laws.","<e1>Wahania</e1> są spowodowane <e2>podatkami</e2> stanowymi i federalnymi, odległością od rafinerii do stacji benzynowych oraz przepisami dotyczącymi ochrony środowiska."
Product,Producer,e1,e2,"I just got in the mail a newly published <e1>book</e1> by an old <e2>friend</e2> of mine, Gordon Goldstein.","Właśnie dostałem pocztą nowo opublikowaną <e1>książkę</e1> mojego starego <e2>przyjaciela</e2>, Gordona Goldsteina."
Entity,Destination,e1,e2,The <e1>balances</e1> were imported into the small business <e2>accounting</e2> correctly.,<e1>Salda</e1> zostały prawidłowo zaimportowane do <e2>księgowości</e2> małej firmy.
Entity,Destination,e1,e2,An unofficial technical <e1>information</e1> has been leaked to the <e2>public</e2>.,Nieoficjalne <e1>informacje techniczne</e1> zostały ujawnione <e2>publicznie</e2>.
Cause,Effect,e2,e1,<e1>Rabies</e1> is caused by a <e2>virus</e2> that is usually contracted through the saliva of an infected animal.,"<e1>Wścieklizna</e1> jest wywoływana przez <e2>wirus</e2>, który jest zwykle przenoszony przez ślinę zarażonego zwierzęcia."
Content,Container,e2,e1,"The <e1>hamper</e1> was full of high-quality sweet <e2>biscuits</e2>, chocolates, cakes and puddings, shortbread, pickles, teas and wine.","<e1>Kosz</e1> był pełen wysokiej jakości słodkich <e2>herbatników</e2>, czekoladek, ciast i puddingów, kruchego ciasta, marynat, herbat i wina."
Product,Producer,e2,e1,"Jillian Palmer came from a comfortably-off Portsmouth <e1>family</e1>, who manufactured the renowned range of Victory <e2>brushes</e2>.","Jillian Palmer pochodziła z zamożnej <e1>rodziny</e1> Portsmouth, która produkowała renomowaną gamę <e2>szczotek</e2> Victory."
Cause,Effect,e2,e1,An <e1>accident</e1> has been caused by the <e2>fog</e2>.,<e1>wypadek</e1> został spowodowany przez <e2>mgłę</e2>.
